"Key Performance Indicators","Type","Status","Target","Actual","Unit","Tolerance","Trend"
"Ratio Employees Organizat. vs. total Employees","","","10,00","5,11","","",""
"Ratio Management vs. total Employees","","","10,00","6,69","","",""
"Mgmt. Employees Costs/Total Costs","","","12,00","10,47","%","",""
"Organiz. Employees Costs/Total Costs","","","30,00","59,96","%","",""
"Internal Employees"
"Value","Actual","+","-","Notes","Forecast"
"Employees Management","117,27 FTE","","","Salary Employee per Year120.000,00 $/FTE","117,27 FTE"
"Employees Organization","89,64 FTE","","","Salary Employee per Year77.500,00 $/FTE","89,64 FTE"
"Employees IT Functional Staff","11,37 FTE","","","Salary Employee per Year77.500,00 $/FTE","11,37 FTE"
"Employees Marketing","34,30 FTE","","","Salary Employee per Year77.500,00 $/FTE","34,3 FTE"
"Employees S&M Loans","208,06 FTE","","","Salary Employee per Year50.000,00 $/FTE","208,06 FTE"
"Employees Orig. Loans","221,91 FTE","","","Salary Employee per Year50.000,00 $/FTE","221,91 FTE"
"Employees Serv. Loans","254,18 FTE","","","Salary Employee per Year50.000,00 $/FTE","254,18 FTE"
"Employees S&M Savings","195,77 FTE","","","Salary Employee per Year50.000,00 $/FTE","195,77 FTE"
"Employees Orig. Savings","300,76 FTE","","","Salary Employee per Year50.000,00 $/FTE","300,76 FTE"
"Employees Servicing Savings","221,08 FTE","","","Salary Employee per Year50.000,00 $/FTE","221,08 FTE"
"External Employees"
"Value","Actual","+","-","Notes","Forecast"
"External Employees Management","0,00 FTE","","","Costs ext. Employee Mgmt. per year780.000,00 $/FTE","0 FTE"
"External Employees IT","0,00 FTE","","","Costs ext. Employee IT per year312.000,00 $/FTE","0 FTE"
"External Employees Organization","6,00 FTE","","","Costs ext. Employee Org. per year520.000,00 $/FTE","6 FTE"
